14740,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,8144,8736,8976,9012,9107,9172,9046,9185,9335,9368,9174,9003,8842,9155,9281,9346
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,75765,74980,76341,78790,82530,83988,91255,90420,83664,84492,82987,85569,85474,86082,87079,88026
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,6841,7099,7240,7338,7566,7778,7811,7964,8083,8391,8532,8657,8711,8799,8918,9160
15260,"Brunswick, GA (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,3050,3168,3394,3650,3815,3951,3850,3657,3531,3502,3412,3272,3261,3240,3309,3547
15380,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,42932,44919,45526,46399,46710,47551,46714,46706,47418,48525,49102,48901,48711,49379,49692,50321
15500,"Burlington, NC (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,4446,4556,4429,4573,4588,4694,4571,4499,4199,4370,4562,4722,4616,4507,4474,4681
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,8753,9010,9682,10032,10279,10528,10396,10493,10599,11129,11509,11724,11639,11751,11898,12140
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,3853,4076,4339,4437,4389,4576,4661,4691,4929,5274,5478,5424,5442,5444,5527,5584
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,13932,14143,14217,14430,14319,13800,13746,13559,12549,12844,13419,13888,14904,15408,15461,14856
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,16647,17885,19413,22293,23895,25465,24495,23066,22201,21462,20323,20398,20568,21740,22822,24017
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,3009,3117,3267,3492,3606,3598,3795,3587,3533,3592,3517,3557,3628,3666,3689,3687
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,3642,3789,3831,3868,3966,4091,4063,4161,4268,4391,4438,4677,4460,4435,4398,4571
16180,"Carson City, NV (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,2750,2838,2922,2995,3060,3069,3242,3100,3135,3236,2943,3243,3007,3033,2799,2833
16220,"Casper, WY (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,3394,3540,3686,3937,4332,5281,5471,6692,5773,5503,5564,5821,5816,6161,5964,5271
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,10967,10544,11311,12146,12582,12214,13583,13121,14881,15252,15759,15666,15582,15825,16091,15839
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,3575,3626,3841,4142,4403,4557,4531,4542,4244,4349,4389,4355,4596,4675,4697,4686
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,8080,8380,8567,8653,8615,8852,8971,9492,9889,10183,10022,10308,10233,10411,10526,10580
16620,"Charleston, WV (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,11920,11978,11887,12073,12223,12408,12484,12759,13063,13229,13159,12746,12142,11347,11612,11392
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,21480,22902,24212,24760,26035,26583,27935,27714,26925,27799,29494,30116,30668,31827,32962,33982
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,94709,99391,101978,105086,114531,122784,119514,127022,117225,115827,122522,125472,126707,130280,136196,140815
16820,"Charlottesville, VA (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,7759,8138,8370,8767,9306,9526,9621,9708,9754,10075,10176,10451,10398,10793,11284,11201
